scan,setting,offset_omega0,duration_omega0,shots,excited
9,5,0.0,2.2,1024,799
9,6,0.0,3.3,1024,1006
9,7,0.0,4.4,1024,669
9,8,0.7,1.1,1024,282
9,9,0.7,2.2,1024,615
9,10,0.7,3.3,1024,567
9,11,0.7,4.4,1024,159
10,0,-0.7,1.1,1024,282
10,1,-0.7,2.2,1024,653
10,2,-0.7,3.3,1024,550
10,3,-0.7,4.4,1024,125
10,4,0.0,1.1,1024,309
10,5,0.0,2.2,1024,793
10,6,0.0,3.3,1024,995
10,7,0.0,4.4,1024,671
10,8,0.7,1.1,1024,287
10,9,0.7,2.2,1024,664
10,10,0.7,3.3,1024,556
10,11,0.7,4.4,1024,160
11,0,-0.7,1.1,1024,280
11,1,-0.7,2.2,1024,636
11,2,-0.7,3.3,1024,532
11,3,-0.7,4.4,1024,130
11,4,0.0,1.1,1024,281
11,5,0.0,2.2,1024,810
11,6,0.0,3.3,1024,996
11,7,0.0,4.4,1024,622
11,8,0.7,1.1,1024,271
11,9,0.7,2.2,1024,676
11,10,0.7,3.3,1024,572
11,11,0.7,4.4,1024,156
12,0,-0.7,1.1,1024,293
12,1,-0.7,2.2,1024,646
12,2,-0.7,3.3,1024,525
12,3,-0.7,4.4,1024,119
12,4,0.0,1.1,1024,315
12,5,0.0,2.2,1024,807
12,6,0.0,3.3,1024,992
12,7,0.0,4.4,1024,623
12,8,0.7,1.1,1024,319
12,9,0.7,2.2,1024,640
12,10,0.7,3.3,1024,576
12,11,0.7,4.4,1024,175
13,0,-0.7,1.1,1024,288
13,1,-0.7,2.2,1024,662
13,2,-0.7,3.3,1024,529
13,3,-0.7,4.4,1024,107
13,4,0.0,1.1,1024,293
13,5,0.0,2.2,1024,819
13,6,0.0,3.3,1024,989
13,7,0.0,4.4,1024,651
13,8,0.7,1.1,1024,273
13,9,0.7,2.2,1024,638
13,10,0.7,3.3,1024,609
13,11,0.7,4.4,1024,159
14,0,-0.7,1.1,1024,292
14,1,-0.7,2.2,1024,658
14,2,-0.7,3.3,1024,519
14,3,-0.7,4.4,1024,117
14,4,0.0,1.1,1024,296
14,5,0.0,2.2,1024,803
14,6,0.0,3.3,1024,977
14,7,0.0,4.4,1024,588
14,8,0.7,1.1,1024,268
14,9,0.7,2.2,1024,649
14,10,0.7,3.3,1024,594
14,11,0.7,4.4,1024,150
15,0,-0.7,1.1,1024,290
15,1,-0.7,2.2,1024,650
15,2,-0.7,3.3,1024,496
15,3,-0.7,4.4,1024,90
15,4,0.0,1.1,1024,267
15,5,0.0,2.2,1024,810
15,6,0.0,3.3,1024,984
15,7,0.0,4.4,1024,616
15,8,0.7,1.1,1024,300
15,9,0.7,2.2,1024,684
15,10,0.7,3.3,1024,583
15,11,0.7,4.4,1024,147
16,0,-0.7,1.1,1024,295
16,1,-0.7,2.2,1024,664
16,2,-0.7,3.3,1024,489
16,3,-0.7,4.4,1024,91
16,4,0.0,1.1,1024,320
16,5,0.0,2.2,1024,824
16,6,0.0,3.3,1024,980
16,7,0.0,4.4,1024,600
16,8,0.7,1.1,1024,271
16,9,0.7,2.2,1024,695
16,10,0.7,3.3,1024,597
16,11,0.7,4.4,1024,137
17,0,-0.7,1.1,1024,283
17,1,-0.7,2.2,1024,622
17,2,-0.7,3.3,1024,519
17,3,-0.7,4.4,1024,73
17,4,0.0,1.1,1024,317
17,5,0.0,2.2,1024,838
17,6,0.0,3.3,1024,992
17,7,0.0,4.4,1024,582
17,8,0.7,1.1,1024,289
17,9,0.7,2.2,1024,670
17,10,0.7,3.3,1024,600
17,11,0.7,4.4,1024,152
18,0,-0.7,1.1,1024,285
18,1,-0.7,2.2,1024,625
18,2,-0.7,3.3,1024,478
18,3,-0.7,4.4,1024,71
18,4,0.0,1.1,1024,300
18,5,0.0,2.2,1024,843
18,6,0.0,3.3,1024,980
18,7,0.0,4.4,1024,565
18,8,0.7,1.1,1024,270
18,9,0.7,2.2,1024,674
18,10,0.7,3.3,1024,584
18,11,0.7,4.4,1024,167
19,0,-0.7,1.1,1024,319
19,1,-0.7,2.2,1024,666
19,2,-0.7,3.3,1024,476
19,3,-0.7,4.4,1024,67
19,4,0.0,1.1,1024,326
19,5,0.0,2.2,1024,856
19,6,0.0,3.3,1024,980
19,7,0.0,4.4,1024,555
19,8,0.7,1.1,1024,302
19,9,0.7,2.2,1024,682
19,10,0.7,3.3,1024,594
19,11,0.7,4.4,1024,151
20,0,-0.7,1.1,1024,308
20,1,-0.7,2.2,1024,612
20,2,-0.7,3.3,1024,457
20,3,-0.7,4.4,1024,63
20,4,0.0,1.1,1024,280
20,5,0.0,2.2,1024,822
20,6,0.0,3.3,1024,976
20,7,0.0,4.4,1024,547
20,8,0.7,1.1,1024,301
20,9,0.7,2.2,1024,718
20,10,0.7,3.3,1024,626
20,11,0.7,4.4,1024,164
21,0,-0.7,1.1,1024,275
21,1,-0.7,2.2,1024,641
21,2,-0.7,3.3,1024,495
21,3,-0.7,4.4,1024,60
21,4,0.0,1.1,1024,305
21,5,0.0,2.2,1024,849
21,6,0.0,3.3,1024,965
21,7,0.0,4.4,1024,549
21,8,0.7,1.1,1024,304
21,9,0.7,2.2,1024,705
21,10,0.7,3.3,1024,611
21,11,0.7,4.4,1024,158
22,0,-0.7,1.1,1024,294
22,1,-0.7,2.2,1024,656
22,2,-0.7,3.3,1024,451
22,3,-0.7,4.4,1024,72
22,4,0.0,1.1,1024,339
22,5,0.0,2.2,1024,850
22,6,0.0,3.3,1024,973
22,7,0.0,4.4,1024,548
22,8,0.7,1.1,1024,298
22,9,0.7,2.2,1024,700
22,10,0.7,3.3,1024,597
22,11,0.7,4.4,1024,142
23,0,-0.7,1.1,1024,297
23,1,-0.7,2.2,1024,636
23,2,-0.7,3.3,1024,455
23,3,-0.7,4.4,1024,54
23,4,0.0,1.1,1024,313
23,5,0.0,2.2,1024,839
23,6,0.0,3.3,1024,974
23,7,0.0,4.4,1024,539
23,8,0.7,1.1,1024,297
23,9,0.7,2.2,1024,720
23,10,0.7,3.3,1024,606
23,11,0.7,4.4,1024,162
24,0,-0.7,1.1,1024,301
24,1,-0.7,2.2,1024,615
24,2,-0.7,3.3,1024,441
24,3,-0.7,4.4,1024,41
24,4,0.0,1.1,1024,333
24,5,0.0,2.2,1024,845
24,6,0.0,3.3,1024,960
24,7,0.0,4.4,1024,509
24,8,0.7,1.1,1024,321
24,9,0.7,2.2,1024,743
24,10,0.7,3.3,1024,633
24,11,0.7,4.4,1024,189
25,0,-0.7,1.1,1024,290
25,1,-0.7,2.2,1024,647
25,2,-0.7,3.3,1024,452
25,3,-0.7,4.4,1024,57
25,4,0.0,1.1,1024,312
25,5,0.0,2.2,1024,855
25,6,0.0,3.3,1024,953
25,7,0.0,4.4,1024,500
25,8,0.7,1.1,1024,311
25,9,0.7,2.2,1024,751
25,10,0.7,3.3,1024,628
25,11,0.7,4.4,1024,168
26,0,-0.7,1.1,1024,308
26,1,-0.7,2.2,1024,639
26,2,-0.7,3.3,1024,424
26,3,-0.7,4.4,1024,54
26,4,0.0,1.1,1024,312
26,5,0.0,2.2,1024,837
26,6,0.0,3.3,1024,947
26,7,0.0,4.4,1024,473
26,8,0.7,1.1,1024,334
26,9,0.7,2.2,1024,730
26,10,0.7,3.3,1024,604
26,11,0.7,4.4,1024,149
27,0,-0.7,1.1,1024,294
27,1,-0.7,2.2,1024,650
27,2,-0.7,3.3,1024,425
27,3,-0.7,4.4,1024,50
27,4,0.0,1.1,1024,338
27,5,0.0,2.2,1024,841
27,6,0.0,3.3,1024,950
27,7,0.0,4.4,1024,486
27,8,0.7,1.1,1024,311
27,9,0.7,2.2,1024,745
27,10,0.7,3.3,1024,662
27,11,0.7,4.4,1024,165
28,0,-0.7,1.1,1024,315
28,1,-0.7,2.2,1024,628
28,2,-0.7,3.3,1024,425
28,3,-0.7,4.4,1024,41
28,4,0.0,1.1,1024,324
28,5,0.0,2.2,1024,868
28,6,0.0,3.3,1024,951
28,7,0.0,4.4,1024,497
28,8,0.7,1.1,1024,331
28,9,0.7,2.2,1024,729
28,10,0.7,3.3,1024,622
28,11,0.7,4.4,1024,160
29,0,-0.7,1.1,1024,306
29,1,-0.7,2.2,1024,635
29,2,-0.7,3.3,1024,395
29,3,-0.7,4.4,1024,29
29,4,0.0,1.1,1024,334
29,5,0.0,2.2,1024,865
29,6,0.0,3.3,1024,948
29,7,0.0,4.4,1024,501
29,8,0.7,1.1,1024,302
29,9,0.7,2.2,1024,724
29,10,0.7,3.3,1024,620
29,11,0.7,4.4,1024,164
30,0,-0.7,1.1,1024,287
30,1,-0.7,2.2,1024,652
30,2,-0.7,3.3,1024,573
30,3,-0.7,4.4,1024,141
30,4,0.0,1.1,1024,276
30,5,0.0,2.2,1024,807
30,6,0.0,3.3,1024,990
30,7,0.0,4.4,1024,653
30,8,0.7,1.1,1024,284
30,9,0.7,2.2,1024,633
30,10,0.7,3.3,1024,559
30,11,0.7,4.4,1024,148
31,0,-0.7,1.1,1024,271
31,1,-0.7,2.2,1024,622
31,2,-0.7,3.3,1024,565
31,3,-0.7,4.4,1024,141
31,4,0.0,1.1,1024,261
31,5,0.0,2.2,1024,820
31,6,0.0,3.3,1024,1004
31,7,0.0,4.4,1024,669
31,8,0.7,1.1,1024,279
31,9,0.7,2.2,1024,660
31,10,0.7,3.3,1024,548
31,11,0.7,4.4,1024,162
32,0,-0.7,1.1,1024,269
32,1,-0.7,2.2,1024,641
32,2,-0.7,3.3,1024,555
32,3,-0.7,4.4,1024,152
32,4,0.0,1.1,1024,285
32,5,0.0,2.2,1024,795
32,6,0.0,3.3,1024,1009
32,7,0.0,4.4,1024,673
32,8,0.7,1.1,1024,249
32,9,0.7,2.2,1024,645
32,10,0.7,3.3,1024,571
32,11,0.7,4.4,1024,161
33,0,-0.7,1.1,1024,265
33,1,-0.7,2.2,1024,627
33,2,-0.7,3.3,1024,516
33,3,-0.7,4.4,1024,140
33,4,0.0,1.1,1024,293
33,5,0.0,2.2,1024,806
33,6,0.0,3.3,1024,997
33,7,0.0,4.4,1024,652
33,8,0.7,1.1,1024,262
33,9,0.7,2.2,1024,641
33,10,0.7,3.3,1024,585
33,11,0.7,4.4,1024,137
34,0,-0.7,1.1,1024,282
34,1,-0.7,2.2,1024,637
34,2,-0.7,3.3,1024,557
34,3,-0.7,4.4,1024,150
34,4,0.0,1.1,1024,289
34,5,0.0,2.2,1024,805
34,6,0.0,3.3,1024,997
34,7,0.0,4.4,1024,662
34,8,0.7,1.1,1024,252
34,9,0.7,2.2,1024,657
34,10,0.7,3.3,1024,567
34,11,0.7,4.4,1024,157
35,0,-0.7,1.1,1024,276
35,1,-0.7,2.2,1024,626
35,2,-0.7,3.3,1024,566
35,3,-0.7,4.4,1024,147
35,4,0.0,1.1,1024,294
35,5,0.0,2.2,1024,797
35,6,0.0,3.3,1024,997
35,7,0.0,4.4,1024,687
35,8,0.7,1.1,1024,272
35,9,0.7,2.2,1024,652
35,10,0.7,3.3,1024,590
35,11,0.7,4.4,1024,160
36,0,-0.7,1.1,1024,297
36,1,-0.7,2.2,1024,618
36,2,-0.7,3.3,1024,573
36,3,-0.7,4.4,1024,154
36,4,0.0,1.1,1024,285
36,5,0.0,2.2,1024,807
36,6,0.0,3.3,1024,1003
36,7,0.0,4.4,1024,664
36,8,0.7,1.1,1024,281
36,9,0.7,2.2,1024,640
36,10,0.7,3.3,1024,572
36,11,0.7,4.4,1024,144
37,0,-0.7,1.1,1024,261
37,1,-0.7,2.2,1024,647
37,2,-0.7,3.3,1024,565
37,3,-0.7,4.4,1024,166
37,4,0.0,1.1,1024,261
37,5,0.0,2.2,1024,777
37,6,0.0,3.3,1024,1002
37,7,0.0,4.4,1024,645
37,8,0.7,1.1,1024,284
37,9,0.7,2.2,1024,648
37,10,0.7,3.3,1024,569
37,11,0.7,4.4,1024,152
38,0,-0.7,1.1,1024,286
38,1,-0.7,2.2,1024,667
38,2,-0.7,3.3,1024,560
38,3,-0.7,4.4,1024,133
38,4,0.0,1.1,1024,290
38,5,0.0,2.2,1024,810
38,6,0.0,3.3,1024,1002
38,7,0.0,4.4,1024,685
38,8,0.7,1.1,1024,266
38,9,0.7,2.2,1024,637
38,10,0.7,3.3,1024,571
38,11,0.7,4.4,1024,148
39,0,-0.7,1.1,1024,266
39,1,-0.7,2.2,1024,631
39,2,-0.7,3.3,1024,547
39,3,-0.7,4.4,1024,156
39,4,0.0,1.1,1024,316
39,5,0.0,2.2,1024,806
39,6,0.0,3.3,1024,996
39,7,0.0,4.4,1024,655
39,8,0.7,1.1,1024,240
39,9,0.7,2.2,1024,657
39,10,0.7,3.3,1024,565
39,11,0.7,4.4,1024,146
40,0,-0.7,1.1,1024,296
40,1,-0.7,2.2,1024,628
40,2,-0.7,3.3,1024,567
40,3,-0.7,4.4,1024,144
40,4,0.0,1.1,1024,265
40,5,0.0,2.2,1024,802
40,6,0.0,3.3,1024,991
40,7,0.0,4.4,1024,656
40,8,0.7,1.1,1024,279
40,9,0.7,2.2,1024,648
40,10,0.7,3.3,1024,552
40,11,0.7,4.4,1024,152
41,0,-0.7,1.1,1024,276
41,1,-0.7,2.2,1024,649
41,2,-0.7,3.3,1024,591
41,3,-0.7,4.4,1024,140
41,4,0.0,1.1,1024,305
41,5,0.0,2.2,1024,815
41,6,0.0,3.3,1024,1000
41,7,0.0,4.4,1024,655
41,8,0.7,1.1,1024,276
41,9,0.7,2.2,1024,628
41,10,0.7,3.3,1024,545
41,11,0.7,4.4,1024,162
42,0,-0.7,1.1,1024,273
42,1,-0.7,2.2,1024,651
42,2,-0.7,3.3,1024,551
42,3,-0.7,4.4,1024,151
42,4,0.0,1.1,1024,275
42,5,0.0,2.2,1024,815
42,6,0.0,3.3,1024,996
42,7,0.0,4.4,1024,665
42,8,0.7,1.1,1024,272
42,9,0.7,2.2,1024,636
42,10,0.7,3.3,1024,563
42,11,0.7,4.4,1024,162
43,0,-0.7,1.1,1024,278
43,1,-0.7,2.2,1024,667
43,2,-0.7,3.3,1024,570
43,3,-0.7,4.4,1024,139
43,4,0.0,1.1,1024,316
43,5,0.0,2.2,1024,813
43,6,0.0,3.3,1024,993
43,7,0.0,4.4,1024,691
43,8,0.7,1.1,1024,267
43,9,0.7,2.2,1024,626
43,10,0.7,3.3,1024,543
43,11,0.7,4.4,1024,148
44,0,-0.7,1.1,1024,267
44,1,-0.7,2.2,1024,610
44,2,-0.7,3.3,1024,587
44,3,-0.7,4.4,1024,147
44,4,0.0,1.1,1024,294
44,5,0.0,2.2,1024,801
44,6,0.0,3.3,1024,991
44,7,0.0,4.4,1024,660
44,8,0.7,1.1,1024,281
44,9,0.7,2.2,1024,649
44,10,0.7,3.3,1024,578
44,11,0.7,4.4,1024,141
